1;1;Atencioso;Doador;Reservado;Sensível;Paciente;Tímido;Franco;Amigável;Encantador;Confiante;Idealista;Profundo;Mediador;Pensativo;Ativo;Detalhista;Agradável;Equilibrado;Tranquilo;Insensível;Relutante;Medroso;Inseguro;Impopular;Cabeça dura;Simples;Discutidor;Negativo;Preocupado;Receptivo;Confuso;Apático;Resmungão;Cético;Solitário;Desconfiado;Agitado;Crítico;Adaptável;Sereno
9;2;Controlado;Convincente;Reservado;Satisfeito;Paciente;Tímido;Franco;Amigável;Encantador;Alegre;Inofensivo;Profundo;Mediador;Pensativo;Ouvinte;Contente;Agradável;Equilibrado;Tranquilo;Desinteressado;Relutante;Esquecido;Indeciso;Frio;Hesitante;Simples;Incerto;Indiferente;Retraído;Receoso;Deprimido;Apático;Desorganizado;Lento;Preguiçoso;Distraído;Relutante;Acomodado;Analítico;Sereno
7;3;Atencioso;Doador;Reservado;Sensível;Planejador;Organizado;Otimista;Amigável;Audacioso;Confiante;Independente;Decidido;Ativo;Tolerante;Leal;Detalhista;Perfeccionista;Equilibrado;Tranquilo;Rancoroso;Repetitivo;Mandão;Inseguro;Impopular;Casual;Cauteloso;Esquentado;Ingênuo;Trabalhador;Receptivo;Mandão;Apático;Triste;Obstinado;Solitário;Distraído;Agitado;Astuto;Animado;Persistente
5;4;Energético;Competitivo;Respeitoso;Sensível;Charmoso;Espontâneo;Franco;Engraçado;Audacioso;Confiante;Independente;Demonstrativo;Musical;Tolerante;Leal;Detalhista;Agradável;Valente;Tranquilo;Indisciplinado;Ressentido;Mandão;Impaciente;Imprevisível;Cabeça dura;Cauteloso;Discutidor;Ousado;Preocupado;Receoso;Mandão;Introvertido;Resmungão;Cético;Barulhento;Distraído;Agitado;Crítico;Adaptável;Brincalhão
10;5;Atencioso;Competitivo;Respeitoso;Satisfeito;Planejador;Espontâneo;Franco;Amigável;Diplomático;Confiante;Independente;Demonstrativo;Mediador;Pensativo;Líder;Contente;Produtivo;Valente;Tranquilo;Rancoroso;Repetitivo;Esquecido;Inseguro;Desligado;Cabeça dura;Simples;Discutidor;Ingênuo;Trabalhador;Receptivo;Confuso;Inconstante;Desorganizado;Lento;Preguiçoso;Distraído;Vingativo;Crítico;Animado;Persistente
4;6;Energético;Competitivo;Habilidoso;Espirituoso;Positivo;Espontâneo;Otimista;Amigável;Audacioso;Confiante;Inspirado;Demonstrativo;Mediador;Pensativo;Ouvinte;Detalhista;Agradável;Equilibrado;Tranquilo;Desinteressado;Ressentido;Esquecido;Impaciente;Frio;Insatisfeito;Orgulhoso;Discutidor;Indiferente;Preocupado;Indelicado;Confuso;Introvertido;Desorganizado;Cético;Preguiçoso;Desconfiado;Agitado;Acomodado;Adaptável;Sereno
2;7;Sociável;Competitivo;Estimulante;Sensível;Planejador;Espontâneo;Franco;Engraçado;Audacioso;Alegre;Independente;Decidido;Mediador;Conversador;Ouvinte;Chefe;Produtivo;Valente;Tranquilo;Rancoroso;Relutante;Complicado;Inseguro;Imprevisível;Cabeça dura;Orgulhoso;Discutidor;Ingênuo;Trabalhador;Tagarela;Confuso;Introvertido;Resmungão;Cético;Preguiçoso;Desconfiado;Agitado;Astuto;Animado;Brincalhão
8;8;Energético;Competitivo;Respeitoso;Satisfeito;Paciente;Espontâneo;Franco;Fiel;Diplomático;Alegre;Idealista;Decidido;Ativo;Pensativo;Ativo;Detalhista;Agradável;Equilibrado;Tranquilo;Indisciplinado;Repetitivo;Esquecido;Inseguro;Desligado;Cabeça dura;Simples;Incerto;Indiferente;Trabalhador;Receoso;Desorganizado;Introvertido;Desorganizado;Lento;Solitário;Distraído;Agitado;Instável;Adaptável;Sereno
6;9;Atencioso;Convincente;Reservado;Espirituoso;Paciente;Espontâneo;Franco;Vigoroso;Minucioso;Culto;Idealista;Profundo;Musical;Pensativo;Ativo;Detalhista;Perfeccionista;Equilibrado;Tranquilo;Desinteressado;Inflexível;Complicado;Inoportuno;Frio;Cabeça dura;Orgulhoso;Discutidor;Indiferente;Preocupado;Receptivo;Mandão;Introvertido;Manipulador;Cético;Preguiçoso;Desconfiado;Imprudente;Crítico;Analítico;Persuasivo
3;10;Atencioso;Convincente;Reservado;Autossuficiente;Planejador;Organizado;Franco;Amigável;Audacioso;Culto;Independente;Demonstrativo;Mediador;Pensativo;Ouvinte;Detalhista;Produtivo;Comportado;Tranquilo;Insensível;Repetitivo;Complicado;Impaciente;Imprevisível;Casual;Simples;Discutidor;Ousado;Trabalhador;Receptivo;Confuso;Introvertido;Resmungão;Obstinado;Solitário;Desconfiado;Relutante;Astuto;Adaptável;Persuasivo
